"chr"	"start"	"end"	"RBPs"	"strand"	"IGF2BP2a_rep1"	"IGF2BP2a_rep2"	"IGF2BP2b_rep1"	"IGF2BP2b_rep2"	"gene_ID"	"gene_name"	"gene_type"	"feature"
"chr16"	12664208	12664216	"IGF2BP2a_final"	"-"	8.465	13.17	11.6	0.48	"ENSG00000103381.12"	"CPPED1"	"protein_coding"	"3UTR"
"chr16"	12664317	12664332	"IGF2BP2a_final,IGF2BP2b_final"	"-"	29.80666667	7.395	13.42	24.0625	"ENSG00000103381.12"	"CPPED1"	"protein_coding"	"3UTR"
"chr16"	12664498	12664506	"IGF2BP2a_final"	"-"	25.235	16.258	13.11142857	18.19428571	"ENSG00000103381.12"	"CPPED1"	"protein_coding"	"3UTR"
"chr16"	12664656	12664664	"IGF2BP2a_final"	"-"	14.31	8.738	10.89	3.72	"ENSG00000103381.12"	"CPPED1"	"protein_coding"	"3UTR"
"chr16"	14875042	14875050	"IGF2BP2b_final"	"+"	3.42	3.64	9.12	11.44	"ENSG00000103512.15"	"NOMO1"	"protein_coding"	"CDS"
"chr16"	15036082	15036090	"IGF2BP2b_final"	"+"	0	0.2133333333	5.22	6.62	"ENSG00000179889.19"	"PDXDC1"	"protein_coding"	"CDS"
"chr16"	15076561	15076569	"IGF2BP2b_final"	"-"	13.68	14.86333333	12.54	10.92	"ENSG00000085721.13"	"RRN3"	"protein_coding"	"CDS"
"chr16"	18533132	18533142	"IGF2BP2a_final,IGF2BP2b_final"	"-"	8.58	7.372	20.55	16.94	"ENSG00000185164.14"	"NOMO2"	"protein_coding"	"CDS"
"chr16"	18557780	18557788	"IGF2BP2a_final"	"-"	5.31	9.2175	3.555	7.008	"ENSG00000185164.14"	"NOMO2"	"protein_coding"	"CDS"
"chr16"	18561885	18561893	"IGF2BP2b_final"	"-"	3.14	7.156	5.94	8.775	"ENSG00000185164.14"	"NOMO2"	"protein_coding"	"CDS"
"chr16"	18782976	18782986	"IGF2BP2a_final,IGF2BP2b_final"	"-"	21.255	49.39714286	14.27	18.30333333	"ENSG00000134419.15"	"RPS15A"	"protein_coding"	"3UTR"
"chr16"	18784770	18784778	"IGF2BP2a_final"	"-"	129.8624987	132.7175	63.315	12.63	"ENSG00000134419.15"	"RPS15A"	"protein_coding"	"CDS"
"chr16"	18789014	18789024	"IGF2BP2a_final,IGF2BP2b_final"	"-"	12.684	28.277	31.722	25.55555556	"ENSG00000134419.15"	"RPS15A"	"protein_coding"	"CDS"
"chr16"	18791765	18791773	"IGF2BP2b_final"	"-"	12.05142857	16.91333333	20.04	23.156	"ENSG00000170540.15"	"ARL6IP1"	"protein_coding"	"3UTR"
"chr16"	18792012	18792022	"IGF2BP2a_final,IGF2BP2b_final"	"-"	30.0675	25.49	15.12	22.63	"ENSG00000170540.15"	"ARL6IP1"	"protein_coding"	"3UTR"
"chr16"	18792134	18792142	"IGF2BP2b_final"	"-"	8.13	7.866	8.753333333	14.57	"ENSG00000170540.15"	"ARL6IP1"	"protein_coding"	"3UTR"
"chr16"	18792584	18792592	"IGF2BP2b_final"	"-"	3.465	5.945	6.87	11.05714286	"ENSG00000170540.15"	"ARL6IP1"	"protein_coding"	"3UTR"
"chr16"	18792619	18792627	"IGF2BP2a_final"	"-"	28.15428571	42.60714286	45.90571429	21.22333333	"ENSG00000170540.15"	"ARL6IP1"	"protein_coding"	"3UTR"
"chr16"	18792630	18792638	"IGF2BP2b_final"	"-"	27.265	41.352	54.17714286	29.42666667	"ENSG00000170540.15"	"ARL6IP1"	"protein_coding"	"3UTR"
"chr16"	18792794	18792802	"IGF2BP2a_final"	"-"	32.76	14.83	19.08	24.792	"ENSG00000170540.15"	"ARL6IP1"	"protein_coding"	"3UTR"
"chr16"	18792805	18792813	"IGF2BP2b_final"	"-"	29.22	19.72166667	25.23	30.62	"ENSG00000170540.15"	"ARL6IP1"	"protein_coding"	"3UTR"
"chr16"	18792970	18792978	"IGF2BP2a_final"	"-"	12.99	19.53142857	25.72	1.412	"ENSG00000170540.15"	"ARL6IP1"	"protein_coding"	"3UTR"
"chr16"	18793008	18793016	"IGF2BP2b_final"	"-"	15.236	16.885	5.485	18.28571429	"ENSG00000170540.15"	"ARL6IP1"	"protein_coding"	"3UTR"
"chr16"	18797926	18797934	"IGF2BP2b_final"	"-"	7.044	5.008	5.79	4.614285714	"ENSG00000170540.15"	"ARL6IP1"	"protein_coding"	"CDS"
"chr16"	18805418	18805426	"IGF2BP2a_final"	"-"	5.1	4.19	7.8	1.168	"ENSG00000157106.17"	"SMG1"	"protein_coding"	"3UTR"
"chr16"	18809604	18809612	"IGF2BP2a_final"	"-"	9.66	18.4075	13.05	1.34	"ENSG00000157106.17"	"SMG1"	"protein_coding"	"CDS"
"chr16"	18812057	18812065	"IGF2BP2a_final"	"-"	6.555	8.372	6.08	7.8	"ENSG00000157106.17"	"SMG1"	"protein_coding"	"CDS"
"chr16"	18815482	18815490	"IGF2BP2a_final"	"-"	11.39	6.313333333	0.1866666667	5.36	"ENSG00000157106.17"	"SMG1"	"protein_coding"	"CDS"
"chr16"	18816521	18816529	"IGF2BP2a_final"	"-"	16.224	17.44714286	15.57	14.088	"ENSG00000157106.17"	"SMG1"	"protein_coding"	"CDS"
"chr16"	18817438	18817446	"IGF2BP2a_final"	"-"	14.4	15.15166667	18.96	12.184	"ENSG00000157106.17"	"SMG1"	"protein_coding"	"CDS"
"chr16"	18819558	18819566	"IGF2BP2b_final"	"-"	0	2.806	9.672	5.12	"ENSG00000157106.17"	"SMG1"	"protein_coding"	"CDS"
"chr16"	18829529	18829537	"IGF2BP2b_final"	"-"	5.14	5.498	13.132	6.493333333	"ENSG00000157106.17"	"SMG1"	"protein_coding"	"CDS"
"chr16"	18829698	18829708	"IGF2BP2a_final,IGF2BP2b_final"	"-"	8.34	20.98875	17.75	15.42444444	"ENSG00000157106.17"	"SMG1"	"protein_coding"	"CDS"
"chr16"	18832966	18832974	"IGF2BP2a_final"	"-"	9.464	7.241666667	2.61	0.08	"ENSG00000157106.17"	"SMG1"	"protein_coding"	"CDS"
"chr16"	18835060	18835068	"IGF2BP2a_final"	"-"	4.35	11.605	0	0.12	"ENSG00000157106.17"	"SMG1"	"protein_coding"	"CDS"
"chr16"	18836010	18836018	"IGF2BP2a_final"	"-"	12.8	12.7325	7.1	12.8625	"ENSG00000157106.17"	"SMG1"	"protein_coding"	"CDS"
"chr16"	18838611	18838622	"IGF2BP2a_final,IGF2BP2b_final"	"-"	16.56666667	21.97222222	14.685	13.2	"ENSG00000157106.17"	"SMG1"	"protein_coding"	"CDS"
"chr16"	18841657	18841665	"IGF2BP2a_final"	"-"	6.984	8.6725	9.265714286	7.802857143	"ENSG00000157106.17"	"SMG1"	"protein_coding"	"CDS"
"chr16"	18847895	18847903	"IGF2BP2a_final"	"-"	8.31	13.24	0	6.69	"ENSG00000157106.17"	"SMG1"	"protein_coding"	"CDS"
"chr16"	18850284	18850292	"IGF2BP2b_final"	"-"	3.59	4.918333333	5.62	5.124	"ENSG00000157106.17"	"SMG1"	"protein_coding"	"CDS"
"chr16"	18850439	18850447	"IGF2BP2a_final"	"-"	9.4975	5.73875	8.3575	0.768	"ENSG00000157106.17"	"SMG1"	"protein_coding"	"CDS"
"chr16"	18853689	18853697	"IGF2BP2b_final"	"-"	16.33	8.56	20.7	14.28	"ENSG00000157106.17"	"SMG1"	"protein_coding"	"CDS"
"chr16"	18871471	18871479	"IGF2BP2b_final"	"-"	7.104	22.64714286	6.165	10.968	"ENSG00000157106.17"	"SMG1"	"protein_coding"	"CDS"
"chr16"	19012173	19012181	"IGF2BP2a_final"	"+"	8.76	11.31666667	3.495	16.87	"ENSG00000207167.1"	"RNU6-1340P"	"snRNA"	"exon"
"chr16"	19503332	19503340	"IGF2BP2b_final"	"-"	14.28	9.313333333	9.72	12.95333333	"ENSG00000006007.12"	"GDE1"	"protein_coding"	"3UTR"
"chr16"	19706800	19706808	"IGF2BP2b_final"	"-"	4.335	1.033333333	12.315	3.928	"ENSG00000103550.14"	"KNOP1"	"protein_coding"	"3UTR"
"chr16"	20735089	20735097	"IGF2BP2b_final"	"-"	4.44	6.774	11.016	6.14	"ENSG00000066654.14"	"THUMPD1"	"protein_coding"	"3UTR"
"chr16"	20735153	20735161	"IGF2BP2b_final"	"-"	5.055	19.93142857	20.21	10.89	"ENSG00000066654.14"	"THUMPD1"	"protein_coding"	"3UTR"
"chr16"	20915704	20915712	"IGF2BP2a_final"	"+"	6.756	9.313333333	0.98	6.193333333	"ENSG00000102897.10"	"LYRM1"	"protein_coding"	"CDS"
"chr16"	20924346	20924354	"IGF2BP2b_final"	"+"	1.56	2.931666667	5.5	5.288	"ENSG00000102897.10"	"LYRM1"	"protein_coding"	"3UTR"
"chr16"	21962471	21962479	"IGF2BP2b_final"	"+"	3.45	11.558	10.29	22.92	"ENSG00000140740.11"	"UQCRC2"	"protein_coding"	"CDS"
"chr16"	21973910	21973918	"IGF2BP2b_final"	"+"	4.94	10.16166667	7.068	13.52	"ENSG00000140740.11"	"UQCRC2"	"protein_coding"	"CDS"
"chr16"	22308935	22308943	"IGF2BP2a_final"	"+"	9.72	5.976666667	5.73	4.46	"ENSG00000058600.16"	"POLR3E"	"protein_coding"	"CDS"
"chr16"	23064864	23064872	"IGF2BP2b_final"	"-"	3.735	5.37	8.96	8.1	"ENSG00000103404.14"	"USP31"	"protein_coding"	"3UTR"
"chr16"	23090752	23090760	"IGF2BP2a_final"	"-"	7.115	8.891666667	11.58	3.28	"ENSG00000103404.14"	"USP31"	"protein_coding"	"CDS"
"chr16"	23445830	23445838	"IGF2BP2a_final"	"-"	18.22	9.03	15.37	0.56	"ENSG00000168434.13"	"COG7"	"protein_coding"	"CDS"
"chr16"	23466186	23466196	"IGF2BP2a_final,IGF2BP2b_final"	"-"	3.531428571	7.334285714	5.376	6.024	"ENSG00000103365.15"	"GGA2"	"protein_coding"	"3UTR"
"chr16"	23570822	23570830	"IGF2BP2a_final"	"+"	9.015	8.98	2.7	4.35	"ENSG00000103353.16"	"UBFD1"	"protein_coding"	"3UTR"
"chr16"	23573476	23573489	"IGF2BP2a_final,IGF2BP2b_final"	"+"	24.90666667	18.685	19.20666667	14.954	"ENSG00000103353.16"	"UBFD1"	"protein_coding"	"3UTR"
"chr16"	23581153	23581161	"IGF2BP2a_final"	"-"	7.737142857	12.17714286	4.34	0	"ENSG00000004779.10"	"NDUFAB1"	"protein_coding"	"3UTR"
"chr16"	23585398	23585406	"IGF2BP2a_final"	"-"	30.9	22.82625	11.24857143	3.603333333	"ENSG00000004779.10"	"NDUFAB1"	"protein_coding"	"CDS"
"chr16"	23587204	23587212	"IGF2BP2a_final"	"-"	22.96285714	32.70714286	35.50285714	22.505	"ENSG00000004779.10"	"NDUFAB1"	"protein_coding"	"CDS"
"chr16"	23629688	23629696	"IGF2BP2a_final"	"-"	10.86	7.4175	3.45	3.42	"ENSG00000083093.10"	"PALB2"	"protein_coding"	"CDS"
"chr16"	23661236	23661244	"IGF2BP2a_final"	"+"	9.484	11.686	6.292	10.03333333	"ENSG00000166847.10"	"DCTN5"	"protein_coding"	"CDS"
"chr16"	23667258	23667266	"IGF2BP2a_final"	"+"	8.55	10.92	5.7	5.2	"ENSG00000166847.10"	"DCTN5"	"protein_coding"	"3UTR"
"chr16"	23667379	23667392	"IGF2BP2a_final,IGF2BP2b_final"	"+"	17.34	21.12444444	16.185	10.75333333	"ENSG00000166847.10"	"DCTN5"	"protein_coding"	"3UTR"
"chr16"	23669530	23669538	"IGF2BP2b_final"	"+"	1.08	4.045714286	7.8	4.763333333	"ENSG00000166847.10"	"DCTN5"	"protein_coding"	"3UTR"
"chr16"	23682121	23682129	"IGF2BP2b_final"	"+"	30.405	2.47	4.47	12.35	"ENSG00000166851.15"	"PLK1"	"protein_coding"	"CDS"
"chr16"	23689908	23689916	"IGF2BP2b_final"	"+"	3.69	0.185	12.24	8.768	"ENSG00000166851.15"	"PLK1"	"protein_coding"	"CDS"
"chr16"	23690318	23690326	"IGF2BP2b_final"	"+"	0	2.208	17.56	4.82	"ENSG00000166851.15"	"PLK1"	"protein_coding"	"3UTR"
"chr16"	24540787	24540795	"IGF2BP2a_final"	"+"	6.353333333	7.285	1.625	2.375	"ENSG00000122257.20"	"RBBP6"	"protein_coding"	"intron"
"chr16"	24546170	24546178	"IGF2BP2b_final"	"+"	9.048	11.745	7.11	8.56	"ENSG00000122257.20"	"RBBP6"	"protein_coding"	"CDS"
"chr16"	24571508	24571516	"IGF2BP2a_final"	"+"	6.552	8.938	2.61	1.305	"ENSG00000122257.20"	"RBBP6"	"protein_coding"	"CDS"
"chr16"	27502900	27502908	"IGF2BP2b_final"	"-"	19.86	7.856666667	24.66	24.83666667	"ENSG00000077235.18"	"GTF3C1"	"protein_coding"	"CDS"
"chr16"	27502922	27502930	"IGF2BP2a_final"	"-"	27.048	16.745	10.86	11.48	"ENSG00000077235.18"	"GTF3C1"	"protein_coding"	"CDS"
"chr16"	27537884	27537892	"IGF2BP2b_final"	"-"	25.04	10.69333333	12.215	14.42	"ENSG00000077235.18"	"GTF3C1"	"protein_coding"	"CDS"
"chr16"	28111843	28111851	"IGF2BP2b_final"	"-"	0	0.2733333333	7.44	4.044	"ENSG00000169180.12"	"XPO6"	"protein_coding"	"CDS"
"chr16"	28121735	28121743	"IGF2BP2b_final"	"-"	19.5	19.205	8.328	9.866666667	"ENSG00000169180.12"	"XPO6"	"protein_coding"	"CDS"
"chr16"	28146126	28146134	"IGF2BP2a_final"	"-"	14.784	8.2375	9.516666667	10.61	"ENSG00000169180.12"	"XPO6"	"protein_coding"	"CDS"
"chr16"	28390308	28390316	"IGF2BP2b_final"	"-"	14.85	21.44666667	22.07	32.956	"ENSG00000205609.13"	"EIF3CL"	"protein_coding"	"CDS"
"chr16"	28390528	28390542	"IGF2BP2a_final,IGF2BP2b_final"	"-"	33.805	22.55125	24.94285714	20.78	"ENSG00000205609.13"	"EIF3CL"	"protein_coding"	"CDS"
"chr16"	28390853	28390861	"IGF2BP2b_final"	"-"	5.7	10.01	14.25	14.56	"ENSG00000205609.13"	"EIF3CL"	"protein_coding"	"CDS"
"chr16"	28400870	28400878	"IGF2BP2a_final"	"-"	40.5	29.212	18.46	28.72666667	"ENSG00000205609.13"	"EIF3CL"	"protein_coding"	"CDS"
"chr16"	28403528	28403536	"IGF2BP2a_final"	"-"	12.54	10.92	22.572	13.52	"ENSG00000205609.13"	"EIF3CL"	"protein_coding"	"CDS"
"chr16"	28711780	28711788	"IGF2BP2a_final"	"+"	17.5425	9.026666667	3.84	1.96	"ENSG00000288630.1"	"AC009093.11"	"lncRNA"	"intron"
"chr16"	28713922	28713930	"IGF2BP2b_final"	"+"	24.9075	24.79833333	7.344	23.596	"ENSG00000184110.15"	"EIF3C"	"protein_coding"	"CDS"
"chr16"	28714091	28714100	"IGF2BP2a_final,IGF2BP2b_final"	"+"	49.87714286	55.27625	9.435	23.67	"ENSG00000288630.1"	"AC009093.11"	"lncRNA"	"intron"
"chr16"	28714923	28714931	"IGF2BP2a_final,IGF2BP2b_final"	"+"	54.90333333	57.04833333	43.69333333	32.24	"ENSG00000288630.1"	"AC009093.11"	"lncRNA"	"intron"
"chr16"	28723170	28723178	"IGF2BP2b_final"	"+"	31.70666667	5.97	21.28	19.62	"ENSG00000184110.15"	"EIF3C"	"protein_coding"	"CDS"
"chr16"	28723544	28723552	"IGF2BP2b_final"	"+"	5.3	3.06	30.97428571	8.416	"ENSG00000288630.1"	"AC009093.11"	"lncRNA"	"intron"
"chr16"	28724322	28724330	"IGF2BP2b_final"	"+"	3.51	2.915	32.90571429	9.74	"ENSG00000184110.15"	"EIF3C"	"protein_coding"	"CDS"
"chr16"	28724772	28724782	"IGF2BP2a_final,IGF2BP2b_final"	"+"	16.94	14.47	33.66	12.08666667	"ENSG00000184110.15"	"EIF3C"	"protein_coding"	"CDS"
"chr16"	28734783	28734791	"IGF2BP2b_final"	"+"	4.08	15.655	31.44	17.02	"ENSG00000184110.15"	"EIF3C"	"protein_coding"	"CDS"
"chr16"	28823248	28823256	"IGF2BP2a_final"	"+"	5.628	4.4625	0.15	2.66	"ENSG00000168488.18"	"ATXN2L"	"protein_coding"	"5UTR"
"chr16"	28829444	28829452	"IGF2BP2a_final"	"+"	5.385	4.24	0	6.413333333	"ENSG00000168488.18"	"ATXN2L"	"protein_coding"	"CDS"
"chr16"	28833217	28833225	"IGF2BP2b_final"	"+"	6.984	12.132	13.36857143	15.41714286	"ENSG00000168488.18"	"ATXN2L"	"protein_coding"	"CDS"
"chr16"	28833452	28833460	"IGF2BP2b_final"	"+"	11.284	10.562	8.635	9.996	"ENSG00000168488.18"	"ATXN2L"	"protein_coding"	"CDS"
"chr16"	28837168	28837177	"IGF2BP2a_final,IGF2BP2b_final"	"+"	28.8275	22.98111111	14.59714286	17.50666667	"ENSG00000168488.18"	"ATXN2L"	"protein_coding"	"3UTR"
"chr16"	28843058	28843066	"IGF2BP2b_final"	"-"	12.28	1.766666667	7.52	9.866666667	"ENSG00000178952.11"	"TUFM"	"protein_coding"	"CDS"
"chr16"	28844241	28844250	"IGF2BP2a_final,IGF2BP2b_final"	"-"	15.12888889	40.85	31.225	30.49333333	"ENSG00000178952.11"	"TUFM"	"protein_coding"	"CDS"
"chr16"	28958990	28958998	"IGF2BP2b_final"	"+"	0	2.64	7.06	9.66	"ENSG00000288630.1"	"AC009093.11"	"lncRNA"	"intron"
"chr16"	28975345	28975353	"IGF2BP2b_final"	"+"	1.08	2.804	6.085714286	5.23	"ENSG00000169682.18"	"SPNS1"	"protein_coding"	"CDS"
"chr16"	29698424	29698432	"IGF2BP2a_final"	"+"	5.22	11.56	0	0	"ENSG00000103485.19"	"QPRT"	"protein_coding"	"3UTR"
"chr16"	29858498	29858506	"IGF2BP2b_final"	"-"	3.99	14.56	16.53	16.12	"ENSG00000103502.14"	"CDIPT"	"protein_coding"	"3UTR"
"chr16"	29968040	29968048	"IGF2BP2b_final"	"+"	2.48	2.876	7.005	6.28	"ENSG00000149932.17"	"TMEM219"	"protein_coding"	"CDS"
"chr16"	29974274	29974282	"IGF2BP2a_final,IGF2BP2b_final"	"+"	11.7	6.716	7.872	13.27333333	"ENSG00000149930.18"	"TAOK2"	"protein_coding"	"5UTR"
"chr16"	30067250	30067258	"IGF2BP2a_final,IGF2BP2b_final"	"+"	38.1225	16.77833333	15.75	9.1175	"ENSG00000149925.22"	"ALDOA"	"protein_coding"	"CDS"
"chr16"	30067474	30067484	"IGF2BP2a_final,IGF2BP2b_final"	"+"	29.88666667	34.855	96.125998	147.0044456	"ENSG00000149925.22"	"ALDOA"	"protein_coding"	"CDS"
"chr16"	30067572	30067580	"IGF2BP2b_final"	"+"	0	8.97625	19.81285714	15.21625	"ENSG00000149925.22"	"ALDOA"	"protein_coding"	"CDS"
"chr16"	30069530	30069540	"IGF2BP2a_final,IGF2BP2b_final"	"+"	21.978001	11.463	16.782	28.740003	"ENSG00000149925.22"	"ALDOA"	"protein_coding"	"CDS"
"chr16"	30069842	30069850	"IGF2BP2b_final"	"+"	3.411428571	3.687142857	19	8.877142857	"ENSG00000149925.22"	"ALDOA"	"protein_coding"	"CDS"
"chr16"	30070370	30070378	"IGF2BP2b_final"	"+"	0	0.6625	20.265	5.2925	"ENSG00000285043.2"	"AC093512.2"	"protein_coding"	"3UTR"
"chr16"	30070389	30070397	"IGF2BP2a_final"	"+"	14.6175	7.515	10.12	3.58	"ENSG00000285043.2"	"AC093512.2"	"protein_coding"	"3UTR"
"chr16"	30082835	30082843	"IGF2BP2b_final"	"+"	0.3	3.853333333	8.58	4.668	"ENSG00000149923.14"	"PPP4C"	"protein_coding"	"CDS"
"chr16"	30083682	30083690	"IGF2BP2b_final"	"+"	6.216	4.552	11.916	8.4	"ENSG00000149923.14"	"PPP4C"	"protein_coding"	"CDS"
"chr16"	30084797	30084805	"IGF2BP2b_final"	"+"	14.725	0.005	8.336666667	20.13333333	"ENSG00000149923.14"	"PPP4C"	"protein_coding"	"CDS"
"chr16"	30085270	30085278	"IGF2BP2a_final"	"+"	9.27	9.446	0	1.04	"ENSG00000149923.14"	"PPP4C"	"protein_coding"	"3UTR"
"chr16"	30424025	30424033	"IGF2BP2a_final"	"-"	8.82	7.5325	1.92	0	"ENSG00000179958.10"	"DCTPP1"	"protein_coding"	"3UTR"
"chr16"	30443898	30443906	"IGF2BP2a_final"	"-"	40.45714286	38.755	43.98	7.663333333	"ENSG00000179918.19"	"SEPHS2"	"protein_coding"	"3UTR"
"chr16"	30445008	30445019	"IGF2BP2a_final,IGF2BP2b_final"	"-"	13.88	11.80333333	3.713333333	10.985	"ENSG00000179918.19"	"SEPHS2"	"protein_coding"	"CDS"
"chr16"	30603088	30603096	"IGF2BP2b_final"	"-"	6.27	8.19	11.685	8.84	"ENSG00000156853.13"	"ZNF689"	"protein_coding"	"3UTR"
"chr16"	30712097	30712105	"IGF2BP2a_final"	"+"	8.233333333	7.2375	6.1	1.552	"ENSG00000080603.17"	"SRCAP"	"protein_coding"	"CDS"
"chr16"	30763130	30763138	"IGF2BP2b_final"	"+"	0	0	8.28	4.888	"ENSG00000103549.22"	"RNF40"	"protein_coding"	"CDS"
"chr16"	30767922	30767930	"IGF2BP2a_final"	"+"	7.296	11.83	3.99	6.24	"ENSG00000103549.22"	"RNF40"	"protein_coding"	"CDS"
"chr16"	31090952	31090960	"IGF2BP2a_final"	"-"	10.57714286	1.932	0.02	0.032	"ENSG00000167397.15"	"VKORC1"	"protein_coding"	"3UTR"
"chr16"	31093335	31093348	"IGF2BP2a_final,IGF2BP2b_final"	"-"	13.01333333	22.79625	13.15666667	15.616	"ENSG00000167397.15"	"VKORC1"	"protein_coding"	"CDS"
"chr16"	31130063	31130071	"IGF2BP2a_final"	"+"	7.14	9.41	4.44	7.95	"ENSG00000103510.20"	"KAT8"	"protein_coding"	"CDS"
"chr16"	31182654	31182662	"IGF2BP2a_final"	"+"	4.988571429	15.14625	7.431428571	1.4375	"ENSG00000089280.19"	"FUS"	"protein_coding"	"CDS"
"chr16"	31184214	31184222	"IGF2BP2b_final"	"+"	6.285	0	7.38	19.97333333	"ENSG00000089280.19"	"FUS"	"protein_coding"	"CDS"
"chr16"	31184286	31184294	"IGF2BP2b_final"	"+"	0.57	0	9.51	17.82333333	"ENSG00000089280.19"	"FUS"	"protein_coding"	"CDS"
"chr16"	31184342	31184350	"IGF2BP2a_final"	"+"	35.61	36.835	12.76285714	15.01666667	"ENSG00000089280.19"	"FUS"	"protein_coding"	"CDS"
"chr16"	31187386	31187394	"IGF2BP2a_final"	"+"	8.75	13.36166667	4.864	7.888	"ENSG00000089280.19"	"FUS"	"protein_coding"	"intron"
"chr16"	31189129	31189137	"IGF2BP2b_final"	"+"	31.32	24.7425	20.59714286	3.3375	"ENSG00000089280.19"	"FUS"	"protein_coding"	"CDS"
"chr16"	31191529	31191537	"IGF2BP2b_final"	"+"	15.88	16.23833333	13.79	17.355	"ENSG00000089280.19"	"FUS"	"protein_coding"	"3UTR"
"chr16"	46660554	46660562	"IGF2BP2a_final"	"-"	21.375	21.99166667	13.395	4.68	"ENSG00000069329.18"	"VPS35"	"protein_coding"	"CDS"
"chr16"	46660576	46660584	"IGF2BP2b_final"	"-"	11.03	9.3975	12.896	5.465	"ENSG00000069329.18"	"VPS35"	"protein_coding"	"CDS"
"chr16"	46661798	46661806	"IGF2BP2b_final"	"-"	10.635	1.095	4.84	9.566666667	"ENSG00000069329.18"	"VPS35"	"protein_coding"	"CDS"
"chr16"	46662310	46662318	"IGF2BP2b_final"	"-"	5.07	2.698	15.11142857	7.56	"ENSG00000069329.18"	"VPS35"	"protein_coding"	"CDS"
"chr16"	46662399	46662407	"IGF2BP2a_final"	"-"	15.05	9.4425	10.62857143	8.546666667	"ENSG00000069329.18"	"VPS35"	"protein_coding"	"CDS"
"chr16"	46672413	46672421	"IGF2BP2a_final"	"-"	17.244	20.68833333	6.3	7.58	"ENSG00000069329.18"	"VPS35"	"protein_coding"	"CDS"
"chr16"	46674390	46674402	"IGF2BP2a_final,IGF2BP2b_final"	"-"	14.67428571	23.606	34.21636364	25.69090909	"ENSG00000069329.18"	"VPS35"	"protein_coding"	"CDS"
"chr16"	46674642	46674650	"IGF2BP2a_final"	"-"	7.02	15.708	5.36	12.84	"ENSG00000069329.18"	"VPS35"	"protein_coding"	"CDS"
"chr16"	46676652	46676660	"IGF2BP2a_final"	"-"	11.316	9.01	10.86	4.98	"ENSG00000069329.18"	"VPS35"	"protein_coding"	"CDS"
"chr16"	46677343	46677351	"IGF2BP2a_final"	"-"	14.29333333	26.32285714	5.933333333	24.84	"ENSG00000069329.18"	"VPS35"	"protein_coding"	"CDS"
"chr16"	46679110	46679123	"IGF2BP2a_final,IGF2BP2b_final"	"-"	25.26	21.096	31.014	11.2975	"ENSG00000069329.18"	"VPS35"	"protein_coding"	"CDS"
"chr16"	46906936	46906945	"IGF2BP2a_final,IGF2BP2b_final"	"+"	16.145	11.96285714	13.612	12.28	"ENSG00000166123.14"	"GPT2"	"protein_coding"	"CDS"
"chr16"	46918643	46918654	"IGF2BP2a_final,IGF2BP2b_final"	"+"	18.37714286	15.43571429	13.53	11.305	"ENSG00000166123.14"	"GPT2"	"protein_coding"	"CDS"
"chr16"	46924464	46924472	"IGF2BP2b_final"	"+"	11.95142857	11.656	18.62	11.12	"ENSG00000166123.14"	"GPT2"	"protein_coding"	"CDS"
"chr16"	46929200	46929208	"IGF2BP2b_final"	"+"	2	9.65	14.255	11.7	"ENSG00000166123.14"	"GPT2"	"protein_coding"	"3UTR"
"chr16"	46930947	46930955	"IGF2BP2a_final"	"+"	14.485	5.7375	7.437142857	10.76	"ENSG00000166123.14"	"GPT2"	"protein_coding"	"3UTR"
"chr16"	46931044	46931052	"IGF2BP2b_final"	"+"	0.315	0	9.988	12.272	"ENSG00000166123.14"	"GPT2"	"protein_coding"	"3UTR"
"chr16"	46931256	46931264	"IGF2BP2b_final"	"+"	6.12	3.442	5.96	4.91	"ENSG00000166123.14"	"GPT2"	"protein_coding"	"3UTR"
"chr16"	46956838	46956848	"IGF2BP2a_final,IGF2BP2b_final"	"-"	22.23	9.706666667	12.54	8.32	"ENSG00000069345.12"	"DNAJA2"	"protein_coding"	"3UTR"
"chr16"	46959020	46959028	"IGF2BP2a_final"	"-"	7.424	13.28833333	9.896666667	9.891428571	"ENSG00000069345.12"	"DNAJA2"	"protein_coding"	"CDS"
"chr16"	46964692	46964700	"IGF2BP2a_final,IGF2BP2b_final"	"-"	50.72	52.31142857	29.29142857	19.952	"ENSG00000069345.12"	"DNAJA2"	"protein_coding"	"CDS"
"chr16"	47218894	47218902	"IGF2BP2a_final"	"-"	4.5	20.894	9.372	8.5075	"ENSG00000129636.13"	"ITFG1"	"protein_coding"	"CDS"
"chr16"	47452776	47452784	"IGF2BP2b_final"	"-"	4.2225	9.896666667	9.0675	8.816666667	"ENSG00000129636.13"	"ITFG1"	"protein_coding"	"CDS"
"chr16"	47454056	47454064	"IGF2BP2a_final"	"-"	15.06	16.07833333	3	1.675	"ENSG00000129636.13"	"ITFG1"	"protein_coding"	"CDS"
"chr16"	47497435	47497443	"IGF2BP2a_final"	"+"	10.92	6.7825	17.57	9.22	"ENSG00000102893.16"	"PHKB"	"protein_coding"	"CDS"
"chr16"	47515565	47515573	"IGF2BP2b_final"	"+"	1.725	6.3475	12.69	8.232	"ENSG00000102893.16"	"PHKB"	"protein_coding"	"CDS"
"chr16"	47660550	47660560	"IGF2BP2a_final,IGF2BP2b_final"	"+"	10.41333333	13.37857143	9.345	7.195	"ENSG00000102893.16"	"PHKB"	"protein_coding"	"CDS"
