Uniprot ID;Gene name;Protein name;MCF7 pre15 confluent;MCF7 pre30 confluent;MCF7 pre15 half confluent;MCF7 pre30 half confluent;MCF7 combined;HEK293 pre15 confluent;HEK293 pre30 confluent;HEK293 pre15 half confluent;HEK293 pre30 half confluent;HEK293 combined;HeLa pre15 confluent;HeLa pre30 confluent;HeLa pre15 half confluent;HeLa pre30 half confluent;HeLa combined;all combined;MCF7 RBP;HEK293 RBP;HeLa RBP;ihRBP
Q8IWX8;CHERP;Calcium homeostasis endoplasmic reticulum protein;5;3;2;1;7;1;3;1;1;6;3;3;NA;NA;5;12;poly(A);poly(A);poly(A);poly(A)
Q8N684;CPSF7;Cleavage and polyadenylation specificity factor subunit 7;3;2;4;3;6;3;4;5;2;7;3;4;3;2;7;12;poly(A);poly(A);poly(A);poly(A)
Q8N9T8;KRI1;Protein KRI1 homolog;3;NA;2;3;5;5;2;3;5;10;1;NA;5;4;7;12;poly(A);non-poly(A);poly(A);poly(A)
Q8WVM0;TFB1M;Dimethyladenosine transferase 1, mitochondrial;7;1;4;5;8;2;2;5;6;7;6;5;5;5;9;12;non-poly(A);non-poly(A);poly(A);poly(A)
Q96G21;IMP4;U3 small nucleolar ribonucleoprotein protein IMP4;3;5;4;4;7;6;6;5;7;10;4;4;4;3;8;12;poly(A);non-poly(A);non-poly(A);poly(A)
Q96QR8;PURB;Transcriptional activator protein Pur-beta;7;7;5;7;12;3;4;3;7;9;1;1;1;3;5;12;poly(A);poly(A);poly(A);poly(A)
Q96RP9;GFM1;Elongation factor G, mitochondrial;4;3;4;3;8;1;NA;5;4;7;2;NA;6;4;6;12;non-poly(A);non-poly(A);poly(A);poly(A)
Q9BX40;LSM14B;Protein LSM14 homolog B;8;7;8;8;9;3;5;5;4;8;5;3;5;3;8;12;poly(A);poly(A);non-poly(A);poly(A)
Q9BYK8;HELZ2;Helicase with zinc finger domain 2;4;3;6;8;12;3;3;1;NA;5;NA;NA;2;1;2;12;poly(A);poly(A);non-poly(A);poly(A)
Q9BZI7;UPF3B;Regulator of nonsense transcripts 3B;3;3;6;5;8;4;4;3;3;8;2;NA;6;1;7;12;non-poly(A);poly(A);poly(A);poly(A)
Q9HAU5;UPF2;Regulator of nonsense transcripts 2;5;2;4;4;11;3;NA;2;2;4;2;NA;NA;NA;2;12;poly(A);non-poly(A);non-poly(A);poly(A)
Q9NS39;ADARB2;Double-stranded RNA-specific editase B2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;3;6;7;12;12;NA;NA;poly(A);poly(A)
Q9Y262;EIF3L;Eukaryotic translation initiation factor 3 subunit L;4;3;7;8;9;NA;NA;3;NA;3;NA;NA;1;2;3;12;poly(A);poly(A);poly(A);poly(A)
Q9Y2T7;YBX2;Y-box-binding protein 2;10;11;10;9;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12;poly(A);NA;NA;poly(A)
Q9Y2W1;THRAP3;Thyroid hormone receptor-associated protein 3;1;1;2;1;4;5;2;3;1;7;1;1;2;1;5;12;poly(A);poly(A);poly(A);poly(A)
Q9Y5J1;UTP18;U3 small nucleolar RNA-associated protein 18 homolog;9;8;9;10;12;6;6;5;4;11;8;6;8;5;11;12;poly(A);poly(A);poly(A);poly(A)
Q9Y6V7;DDX49;Probable ATP-dependent RNA helicase DDX49;4;3;4;2;5;3;5;3;6;11;2;1;4;3;7;12;poly(A);non-poly(A);poly(A);poly(A)
O15381;NVL;Nuclear valosin-containing protein-like;NA;NA;2;NA;2;1;1;2;2;4;4;2;9;4;11;11;non-poly(A);non-poly(A);poly(A);poly(A)
O75616;ERAL1;GTPase Era, mitochondrial;7;6;6;5;9;2;1;4;4;5;4;3;6;4;7;11;non-poly(A);poly(A);poly(A);poly(A)
O95319;CELF2;CUGBP Elav-like family member 2;NA;NA;NA;NA;NA;6;9;8;7;11;NA;NA;NA;NA;NA;11;NA;poly(A);NA;poly(A)
O95478;NSA2;Ribosome biogenesis protein NSA2 homolog;7;6;5;4;9;4;6;7;6;10;8;6;9;7;11;11;poly(A);poly(A);poly(A);poly(A)
O95900;TRUB2;Probable tRNA pseudouridine synthase 2;6;7;5;6;8;2;1;6;6;8;6;4;8;8;11;11;poly(A);poly(A);poly(A);poly(A)
P08708;RPS17;40S ribosomal protein S17;6;8;9;8;10;4;7;7;7;11;4;3;6;6;9;11;poly(A);poly(A);non-poly(A);poly(A)
P10809;HSPD1;60 kDa heat shock protein, mitochondrial;1;3;3;3;7;1;1;6;NA;6;1;1;1;2;2;11;non-poly(A);non-poly(A);poly(A);poly(A)
P11021;HSPA5;78 kDa glucose-regulated protein;3;NA;1;3;4;5;1;4;1;9;1;2;6;5;7;11;poly(A);non-poly(A);non-poly(A);poly(A)
P17480;UBTF;Nucleolar transcription factor 1;1;1;1;1;4;2;5;NA;NA;7;NA;1;NA;NA;1;11;non-poly(A);poly(A);NA;poly(A)
P39019;RPS19;40S ribosomal protein S19;2;3;4;7;9;2;2;3;1;6;3;2;2;3;6;11;poly(A);poly(A);non-poly(A);poly(A)
P46199;MTIF2;Translation initiation factor IF-2, mitochondrial;4;3;5;1;7;3;1;3;1;5;3;2;2;2;5;11;non-poly(A);non-poly(A);poly(A);poly(A)
P46783;RPS10;40S ribosomal protein S10;5;6;8;7;9;4;8;5;6;10;5;4;4;5;7;11;poly(A);poly(A);poly(A);poly(A)
P49756;RBM25;RNA-binding protein 25;1;4;NA;1;5;NA;1;NA;2;3;2;3;NA;NA;4;11;poly(A);poly(A);poly(A);poly(A)
P51398;DAP3;28S ribosomal protein S29, mitochondrial;4;3;6;3;10;1;NA;NA;1;2;3;2;6;1;8;11;non-poly(A);poly(A);poly(A);poly(A)
P55010;EIF5;Eukaryotic translation initiation factor 5;1;6;5;3;8;4;1;4;8;10;1;NA;7;6;9;11;non-poly(A);poly(A);non-poly(A);poly(A)
P55072;VCP;Transitional endoplasmic reticulum ATPase;2;1;1;1;3;NA;NA;1;NA;1;NA;1;4;3;7;11;non-poly(A);NA;non-poly(A);poly(A)
P62277;RPS13;40S ribosomal protein S13;7;6;10;11;11;4;5;5;6;7;5;5;7;6;8;11;poly(A);poly(A);non-poly(A);poly(A)
P62841;RPS15;40S ribosomal protein S15;6;8;8;7;9;5;6;7;8;8;4;5;5;5;6;11;poly(A);poly(A);poly(A);poly(A)
P78346;RPP30;Ribonuclease P protein subunit p30;3;6;6;4;10;6;5;4;4;8;3;3;6;2;8;11;non-poly(A);non-poly(A);poly(A);poly(A)
Q01082;SPTBN1;Spectrin beta chain, non-erythrocytic 1;NA;NA;NA;NA;NA;2;NA;4;2;7;NA;NA;4;3;7;11;NA;poly(A);non-poly(A);poly(A)
Q7L1Q6;BZW1;Basic leucine zipper and W2 domain-containing protein 1;2;5;4;6;9;2;2;4;6;7;6;2;7;5;9;11;poly(A);poly(A);poly(A);poly(A)
Q8IUH3;RBM45;RNA-binding protein 45;7;8;5;5;9;3;3;5;3;8;3;2;4;2;5;11;poly(A);poly(A);poly(A);poly(A)
Q8N5C6;SRBD1;S1 RNA-binding domain-containing protein 1;1;NA;1;3;4;NA;NA;NA;NA;NA;NA;NA;4;3;7;11;poly(A);NA;non-poly(A);poly(A)
Q92804;TAF15;TATA-binding protein-associated factor 2N;6;6;4;3;7;7;7;6;5;10;6;6;4;4;10;11;poly(A);poly(A);poly(A);poly(A)
Q96CM3;RPUSD4;RNA pseudouridylate synthase domain-containing protein 4;4;4;3;5;8;1;NA;3;2;5;5;5;6;6;9;11;non-poly(A);poly(A);poly(A);poly(A)
Q96G46;DUS3L;tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like;NA;NA;NA;NA;NA;3;3;6;4;10;2;2;5;1;8;11;NA;poly(A);non-poly(A);poly(A)
Q99543;DNAJC2;DnaJ homolog subfamily C member 2;4;2;3;3;7;1;NA;4;5;7;NA;1;4;3;6;11;non-poly(A);non-poly(A);poly(A);poly(A)
Q99700;ATXN2;Ataxin-2;2;2;2;2;3;2;NA;2;4;6;NA;NA;1;2;3;11;poly(A);poly(A);poly(A);poly(A)
Q9GZT3;SLIRP;SRA stem-loop-interacting RNA-binding protein, mitochondrial;8;8;7;7;9;6;7;6;4;10;4;6;5;4;7;11;poly(A);poly(A);poly(A);poly(A)
Q9H0L4;CSTF2T;Cleavage stimulation factor subunit 2 tau variant;3;6;4;4;9;3;3;7;5;7;4;2;3;3;7;11;non-poly(A);poly(A);poly(A);poly(A)
Q9H6S0;YTHDC2;Probable ATP-dependent RNA helicase YTHDC2;NA;NA;3;1;3;3;3;9;8;11;2;NA;8;1;9;11;poly(A);poly(A);poly(A);poly(A)
Q9H9Y2;RPF1;Ribosome production factor 1;7;6;5;5;8;2;6;3;5;7;4;3;4;3;6;11;non-poly(A);poly(A);non-poly(A);poly(A)
Q9HAV4;XPO5;Exportin-5;3;3;4;5;6;2;2;5;6;11;3;1;8;3;9;11;poly(A);poly(A);poly(A);poly(A)
Q9NVV4;MTPAP;Poly(A) RNA polymerase, mitochondrial;4;2;3;2;6;4;NA;3;5;6;1;3;2;3;5;11;poly(A);poly(A);poly(A);poly(A)
Q9NXG2;THUMPD1;THUMP domain-containing protein 1;3;4;5;5;8;2;1;3;2;4;2;1;2;4;6;11;non-poly(A);non-poly(A);poly(A);poly(A)
Q9P031;CCDC59;Thyroid transcription factor 1-associated protein 26;5;7;6;3;8;6;4;8;5;10;4;5;5;4;8;11;poly(A);non-poly(A);poly(A);poly(A)
Q9P2E3;ZNFX1;NFX1-type zinc finger-containing protein 1;1;3;4;5;7;NA;NA;NA;1;1;2;NA;5;1;7;11;poly(A);NA;poly(A);poly(A)
Q9Y3D9;MRPS23;28S ribosomal protein S23, mitochondrial;4;4;4;5;6;5;4;6;6;10;5;6;5;5;8;11;poly(A);poly(A);poly(A);poly(A)
Q9Y580;RBM7;RNA-binding protein 7;2;7;3;2;7;2;2;3;3;7;4;3;3;4;9;11;poly(A);poly(A);poly(A);poly(A)
Q9Y606;PUS1;tRNA pseudouridine synthase A, mitochondrial;NA;2;3;1;5;NA;1;1;1;3;3;1;2;1;7;11;non-poly(A);poly(A);poly(A);poly(A)
A5YKK6;CNOT1;CCR4-NOT transcription complex subunit 1;1;1;4;1;6;1;2;4;2;7;NA;NA;3;1;3;10;poly(A);poly(A);poly(A);poly(A)
O15234;CASC3;Protein CASC3;3;2;3;2;5;2;2;3;3;6;3;1;4;4;8;10;poly(A);poly(A);poly(A);poly(A)
O43809;NUDT21;Cleavage and polyadenylation specificity factor subunit 5;4;6;5;3;7;5;7;6;8;10;4;5;5;4;7;10;poly(A);poly(A);poly(A);poly(A)
O60869;EDF1;Endothelial differentiation-related factor 1;3;4;4;5;7;4;2;5;5;6;2;4;3;6;7;10;poly(A);poly(A);poly(A);poly(A)
O75400;PRPF40A;Pre-mRNA-processing factor 40 homolog A;1;1;NA;NA;2;2;3;2;1;7;1;NA;NA;NA;1;10;non-poly(A);poly(A);NA;poly(A)
P04075;ALDOA;Fructose-bisphosphate aldolase A;3;NA;3;2;5;1;2;1;4;6;1;NA;4;5;7;10;non-poly(A);poly(A);non-poly(A);poly(A)
P05388;RPLP0;60S acidic ribosomal protein P0;NA;5;2;4;6;1;2;4;6;7;2;1;6;4;9;10;poly(A);poly(A);poly(A);poly(A)
P08238;HSP90AB1;Heat shock protein HSP 90-beta;1;1;1;2;5;3;3;3;1;7;1;1;4;4;5;10;poly(A);poly(A);poly(A);poly(A)
P11387;TOP1;DNA topoisomerase 1;1;4;1;2;7;NA;1;1;NA;2;2;NA;1;1;3;10;non-poly(A);poly(A);poly(A);poly(A)
P15170;GSPT1;Eukaryotic peptide chain release factor GTP-binding subunit ERF3A;2;1;2;6;7;1;1;4;4;7;2;NA;3;3;5;10;non-poly(A);poly(A);poly(A);poly(A)
P26373;RPL13;60S ribosomal protein L13;3;6;4;5;8;1;2;3;2;3;2;3;3;1;5;10;poly(A);non-poly(A);poly(A);poly(A)
P27635;RPL10;60S ribosomal protein L10;5;5;4;6;8;5;4;3;5;9;3;1;4;2;6;10;non-poly(A);poly(A);poly(A);poly(A)
P49368;CCT3;T-complex protein 1 subunit gamma;1;NA;2;1;4;NA;NA;4;2;5;1;NA;3;2;4;10;non-poly(A);poly(A);non-poly(A);poly(A)
P61313;RPL15;60S ribosomal protein L15;3;4;8;5;9;5;5;3;2;8;NA;4;3;3;5;10;poly(A);poly(A);poly(A);poly(A)
P61353;RPL27;60S ribosomal protein L27;5;4;7;9;10;3;6;4;2;7;2;2;4;5;7;10;non-poly(A);poly(A);poly(A);poly(A)
P62263;RPS14;40S ribosomal protein S14;4;5;7;8;9;3;5;3;3;7;4;5;5;4;7;10;poly(A);poly(A);non-poly(A);poly(A)
P84098;RPL19;60S ribosomal protein L19;3;5;6;3;9;1;4;3;2;7;3;NA;1;2;5;10;poly(A);non-poly(A);poly(A);poly(A)
P98179;RBM3;RNA-binding protein 3;5;8;6;9;9;6;8;7;7;8;6;8;6;5;8;10;poly(A);poly(A);poly(A);poly(A)
Q01804;OTUD4;OTU domain-containing protein 4;3;3;3;3;6;2;1;7;6;8;2;NA;3;1;4;10;poly(A);poly(A);non-poly(A);poly(A)
Q02543;RPL18A;60S ribosomal protein L18a;6;6;9;6;10;6;5;5;7;8;2;3;5;5;7;10;poly(A);poly(A);poly(A);poly(A)
Q06830;PRDX1;Peroxiredoxin-1;1;NA;1;1;2;2;4;2;3;8;1;2;3;4;6;10;poly(A);poly(A);poly(A);poly(A)
Q14011;CIRBP;Cold-inducible RNA-binding protein;5;7;4;6;8;4;7;6;4;8;4;6;4;3;8;10;poly(A);poly(A);poly(A);poly(A)
Q14980;NUMA1;Nuclear mitotic apparatus protein 1;NA;1;1;1;3;NA;NA;4;NA;4;4;NA;3;4;7;10;poly(A);non-poly(A);non-poly(A);poly(A)
Q16630;CPSF6;Cleavage and polyadenylation specificity factor subunit 6;5;5;5;4;10;6;6;8;4;8;5;2;5;5;8;10;poly(A);poly(A);poly(A);poly(A)
Q6P087;RPUSD3;RNA pseudouridylate synthase domain-containing protein 3;3;5;2;1;7;NA;1;6;4;7;5;4;6;4;8;10;poly(A);poly(A);poly(A);poly(A)
Q86TB9;PATL1;Protein PAT1 homolog 1;5;5;5;4;9;1;3;7;4;7;4;1;3;3;4;10;poly(A);poly(A);poly(A);poly(A)
Q86XZ4;SPATS2;Spermatogenesis-associated serine-rich protein 2;2;3;3;5;6;1;NA;1;1;2;1;1;6;8;9;10;poly(A);non-poly(A);poly(A);poly(A)
Q8IVS2;MCAT;Malonyl-CoA-acyl carrier protein transacylase, mitochondrial;5;4;2;5;5;2;3;2;4;7;4;3;2;5;7;10;poly(A);poly(A);non-poly(A);poly(A)
Q8IXM3;MRPL41;39S ribosomal protein L41, mitochondrial;6;7;7;5;9;5;5;5;4;8;5;2;7;4;7;10;non-poly(A);poly(A);poly(A);poly(A)
Q8N8A6;DDX51;ATP-dependent RNA helicase DDX51;6;2;4;6;9;5;2;5;4;8;2;2;3;4;6;10;poly(A);poly(A);poly(A);poly(A)
Q8NCA5;FAM98A;Protein FAM98A;3;5;5;4;7;1;3;6;5;8;4;2;4;5;7;10;poly(A);poly(A);poly(A);poly(A)
Q8NHQ9;DDX55;ATP-dependent RNA helicase DDX55;2;4;6;3;7;4;1;3;4;6;5;3;6;4;7;10;non-poly(A);non-poly(A);poly(A);poly(A)
Q8TEQ6;GEMIN5;Gem-associated protein 5;3;3;4;5;7;NA;NA;4;1;5;1;1;5;2;6;10;poly(A);non-poly(A);poly(A);poly(A)
Q8WWY3;PRPF31;U4/U6 small nuclear ribonucleoprotein Prp31;5;2;4;3;6;3;3;4;4;7;4;2;3;4;8;10;poly(A);poly(A);poly(A);poly(A)
Q96AG4;LRRC59;Leucine-rich repeat-containing protein 59;3;4;3;4;8;2;3;3;2;6;4;3;4;5;8;10;poly(A);non-poly(A);poly(A);poly(A)
Q96CT7;CCDC124;Coiled-coil domain-containing protein 124;5;5;8;6;10;2;4;5;5;7;3;1;3;5;5;10;poly(A);non-poly(A);poly(A);poly(A)
Q96PU8;QKI;Protein quaking;3;3;1;1;4;4;5;5;6;9;3;2;4;2;6;10;poly(A);poly(A);non-poly(A);poly(A)
Q9H0Z9;RBM38;RNA-binding protein 38;8;9;9;8;10;3;6;6;6;7;1;1;2;NA;2;10;poly(A);poly(A);poly(A);poly(A)
Q9H9L3;ISG20L2;Interferon-stimulated 20 kDa exonuclease-like 2;3;2;4;3;7;2;1;3;3;3;5;4;6;4;8;10;non-poly(A);non-poly(A);poly(A);poly(A)
Q9NY12;GAR1;H/ACA ribonucleoprotein complex subunit 1;6;7;4;4;8;2;4;5;4;7;4;4;2;3;7;10;poly(A);poly(A);poly(A);poly(A)
Q9ULW3;ABT1;Activator of basal transcription 1;6;5;5;3;9;6;6;4;5;9;2;2;4;5;5;10;poly(A);poly(A);poly(A);poly(A)
Q9UMY1;NOL7;Nucleolar protein 7;4;4;3;4;6;2;4;4;3;7;3;3;3;3;7;10;non-poly(A);non-poly(A);poly(A);poly(A)
Q9Y2Z4;YARS2;Tyrosine--tRNA ligase, mitochondrial;1;3;3;3;5;1;NA;1;2;4;4;2;7;2;8;10;non-poly(A);poly(A);non-poly(A);poly(A)
O43148;RNMT;mRNA cap guanine-N7 methyltransferase;2;4;3;1;5;2;3;3;2;5;3;1;2;4;6;9;poly(A);non-poly(A);non-poly(A);poly(A)
O60841;EIF5B;Eukaryotic translation initiation factor 5B;NA;2;4;1;6;1;1;1;2;4;NA;2;NA;1;3;9;poly(A);poly(A);poly(A);poly(A)
O75369;FLNB;Filamin-B;1;1;1;2;4;NA;NA;NA;1;1;NA;NA;3;1;4;9;non-poly(A);NA;non-poly(A);poly(A)
P06733;ENO1;Alpha-enolase;1;NA;3;3;4;2;4;3;1;6;2;NA;1;2;3;9;poly(A);non-poly(A);poly(A);poly(A)
P08195;SLC3A2;4F2 cell-surface antigen heavy chain;3;3;NA;NA;5;2;1;2;1;4;1;NA;1;1;2;9;poly(A);non-poly(A);poly(A);poly(A)
P38646;HSPA9;Stress-70 protein, mitochondrial;3;1;2;1;5;NA;NA;2;NA;2;1;1;2;2;5;9;non-poly(A);poly(A);poly(A);poly(A)
P50914;RPL14;60S ribosomal protein L14;4;4;5;3;7;6;6;5;5;9;3;4;5;4;6;9;poly(A);poly(A);poly(A);poly(A)
P62829;RPL23;60S ribosomal protein L23;1;1;4;3;6;2;7;4;2;8;2;2;5;4;6;9;poly(A);non-poly(A);poly(A);poly(A)
P62899;RPL31;60S ribosomal protein L31;2;3;6;5;6;2;2;3;4;6;2;1;4;1;4;9;poly(A);non-poly(A);poly(A);poly(A)
P62937;PPIA;Peptidyl-prolyl cis-trans isomerase A;4;3;3;2;8;3;4;2;2;8;4;4;2;2;5;9;poly(A);poly(A);poly(A);poly(A)
P78347;GTF2I;General transcription factor II-I;2;2;1;2;5;1;NA;1;3;4;NA;1;1;1;2;9;poly(A);non-poly(A);non-poly(A);poly(A)
Q5SY16;NOL9;Polynucleotide 5'-hydroxyl-kinase NOL9;2;1;5;4;6;1;3;3;3;5;5;2;6;4;8;9;poly(A);non-poly(A);non-poly(A);poly(A)
Q5T280;SPOUT1;Putative methyltransferase C9orf114;5;4;5;2;7;1;1;3;2;4;3;2;4;4;6;9;poly(A);poly(A);poly(A);poly(A)
Q6NSI4;CXorf57;Uncharacterized protein CXorf57;NA;NA;NA;NA;NA;NA;1;8;3;9;NA;NA;NA;NA;NA;9;NA;poly(A);NA;poly(A)
Q6NUQ4;TMEM214;Transmembrane protein 214;3;3;5;2;6;1;1;1;1;2;2;2;3;2;7;9;poly(A);non-poly(A);non-poly(A);poly(A)
Q86TG7;PEG10;Retrotransposon-derived protein PEG10;NA;NA;NA;NA;NA;1;1;3;7;8;4;NA;NA;1;5;9;NA;poly(A);poly(A);poly(A)
Q8IZH2;XRN1;5'-3' exoribonuclease 1;1;2;2;1;5;2;1;4;2;6;NA;NA;2;1;2;9;poly(A);poly(A);poly(A);poly(A)
Q8NAV1;PRPF38A;Pre-mRNA-splicing factor 38A;2;1;2;NA;3;2;1;2;2;5;3;3;NA;NA;6;9;non-poly(A);poly(A);non-poly(A);poly(A)
Q8TCS8;PNPT1;Polyribonucleotide nucleotidyltransferase 1, mitochondrial;NA;NA;1;2;3;NA;NA;5;2;5;2;NA;4;4;5;9;non-poly(A);poly(A);non-poly(A);poly(A)
Q92541;RTF1;RNA polymerase-associated protein RTF1 homolog;2;3;1;1;5;1;2;1;NA;2;NA;NA;NA;2;2;9;non-poly(A);non-poly(A);poly(A);poly(A)
Q96D46;NMD3;60S ribosomal export protein NMD3;4;5;6;6;8;4;5;4;5;6;4;3;5;4;6;9;poly(A);non-poly(A);poly(A);poly(A)
Q9BTD8;RBM42;RNA-binding protein 42;1;2;1;NA;3;1;4;5;2;7;3;4;3;2;6;9;non-poly(A);non-poly(A);poly(A);poly(A)
Q9BUQ8;DDX23;Probable ATP-dependent RNA helicase DDX23;2;3;1;2;7;1;NA;2;1;3;2;1;2;NA;3;9;poly(A);poly(A);non-poly(A);poly(A)
Q9BVI4;NOC4L;Nucleolar complex protein 4 homolog;3;4;3;1;5;4;2;3;4;8;2;2;2;1;6;9;non-poly(A);non-poly(A);poly(A);poly(A)
Q9BYD3;MRPL4;39S ribosomal protein L4, mitochondrial;3;3;4;4;6;4;2;4;5;7;4;4;5;5;7;9;poly(A);poly(A);poly(A);poly(A)
Q9NV31;IMP3;U3 small nucleolar ribonucleoprotein protein IMP3;4;4;6;3;6;4;5;3;4;6;4;3;5;5;6;9;non-poly(A);poly(A);poly(A);poly(A)
Q9P258;RCC2;Protein RCC2;2;1;1;2;4;1;3;4;NA;6;1;1;3;2;3;9;non-poly(A);poly(A);poly(A);poly(A)
Q9UJA5;TRMT6;tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6;1;3;3;4;6;NA;NA;1;2;2;2;2;5;2;6;9;non-poly(A);non-poly(A);poly(A);poly(A)
Q9UKV8;AGO2;Protein argonaute-2;NA;3;2;4;7;NA;1;NA;2;3;1;1;4;2;6;9;poly(A);poly(A);poly(A);poly(A)
Q9Y3A5;SBDS;Ribosome maturation protein SBDS;1;1;3;1;3;3;3;6;2;7;1;NA;4;4;7;9;non-poly(A);non-poly(A);poly(A);poly(A)
Q9Y3C1;NOP16;Nucleolar protein 16;6;7;7;8;8;6;5;5;6;7;7;5;6;5;8;9;poly(A);poly(A);poly(A);poly(A)
Q9Y4W2;LAS1L;Ribosomal biogenesis protein LAS1L;3;4;2;2;4;3;2;3;5;8;3;3;3;1;5;9;poly(A);poly(A);poly(A);poly(A)
Q9Y6G3;MRPL42;39S ribosomal protein L42, mitochondrial;5;5;4;4;5;6;4;4;5;8;5;5;4;3;7;9;non-poly(A);non-poly(A);poly(A);poly(A)
A1L020;MEX3A;RNA-binding protein MEX3A;2;4;4;2;7;3;3;4;4;4;1;NA;NA;NA;1;8;poly(A);poly(A);NA;poly(A)
O00178;GTPBP1;GTP-binding protein 1;NA;NA;1;1;2;2;NA;5;3;8;1;NA;3;1;4;8;non-poly(A);non-poly(A);poly(A);poly(A)
O00422;SAP18;Histone deacetylase complex subunit SAP18;1;2;NA;3;5;3;3;1;1;6;NA;2;1;3;3;8;poly(A);poly(A);non-poly(A);poly(A)
O43395;PRPF3;U4/U6 small nuclear ribonucleoprotein Prp3;NA;NA;NA;2;2;NA;NA;NA;2;2;1;NA;4;1;5;8;non-poly(A);poly(A);non-poly(A);poly(A)
O43432;EIF4G3;Eukaryotic translation initiation factor 4 gamma 3;NA;NA;NA;3;3;1;NA;5;2;7;NA;NA;NA;NA;NA;8;poly(A);poly(A);NA;poly(A)
O75569;PRKRA;Interferon-inducible double-stranded RNA-dependent protein kinase activator A;6;5;6;6;8;2;NA;4;5;6;NA;NA;1;NA;1;8;non-poly(A);poly(A);NA;poly(A)
O95453;PARN;Poly(A)-specific ribonuclease PARN;4;4;3;4;4;3;1;1;3;6;4;2;3;4;8;8;non-poly(A);non-poly(A);poly(A);poly(A)
P04843;RPN1;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1;NA;NA;NA;NA;NA;5;NA;1;NA;6;2;1;1;2;5;8;NA;non-poly(A);poly(A);poly(A)
P15311;EZR;Ezrin;3;1;NA;2;4;1;1;2;1;4;1;1;2;3;5;8;non-poly(A);poly(A);poly(A);poly(A)
P18621;RPL17;60S ribosomal protein L17;3;3;4;6;7;3;3;2;1;4;2;1;1;1;2;8;non-poly(A);poly(A);poly(A);poly(A)
P30086;PEBP1;Phosphatidylethanolamine-binding protein 1;7;8;5;5;8;5;6;3;2;7;5;5;4;4;5;8;non-poly(A);poly(A);poly(A);poly(A)
P35269;GTF2F1;General transcription factor IIF subunit 1;2;2;NA;NA;3;1;1;3;NA;5;NA;NA;NA;NA;NA;8;non-poly(A);poly(A);NA;poly(A)
P46779;RPL28;60S ribosomal protein L28;NA;NA;5;2;5;1;2;2;3;6;1;NA;1;1;2;8;poly(A);non-poly(A);poly(A);poly(A)
P49411;TUFM;Elongation factor Tu, mitochondrial;3;1;1;2;5;1;2;1;2;4;3;1;3;1;6;8;poly(A);non-poly(A);poly(A);poly(A)
P52292;KPNA2;Importin subunit alpha-1;1;NA;3;2;3;1;3;4;4;7;3;1;4;4;7;8;poly(A);poly(A);non-poly(A);poly(A)
P62266;RPS23;40S ribosomal protein S23;1;2;4;4;6;3;2;1;2;5;NA;1;1;2;3;8;poly(A);poly(A);non-poly(A);poly(A)
P62847;RPS24;40S ribosomal protein S24;5;6;6;6;7;5;6;5;4;8;4;5;4;4;6;8;non-poly(A);poly(A);poly(A);poly(A)
P62888;RPL30;60S ribosomal protein L30;4;5;3;4;7;4;7;4;2;7;5;5;2;4;6;8;poly(A);poly(A);poly(A);poly(A)
P62906;RPL10A;60S ribosomal protein L10a;4;3;4;3;6;NA;5;2;3;5;2;3;3;5;7;8;poly(A);poly(A);poly(A);poly(A)
P83731;RPL24;60S ribosomal protein L24;2;4;2;1;5;3;4;2;NA;5;1;NA;5;4;7;8;non-poly(A);poly(A);poly(A);poly(A)
Q01081;U2AF1;Splicing factor U2AF 35 kDa subunit;2;2;1;4;4;5;1;2;4;5;1;2;4;4;5;8;poly(A);poly(A);poly(A);poly(A)
Q05048;CSTF1;Cleavage stimulation factor subunit 1;4;4;5;4;6;2;2;1;4;5;1;2;2;1;5;8;poly(A);poly(A);poly(A);poly(A)
Q07020;RPL18;60S ribosomal protein L18;1;NA;5;4;5;1;2;1;NA;4;3;NA;1;3;4;8;poly(A);non-poly(A);non-poly(A);poly(A)
Q13427;PPIG;Peptidyl-prolyl cis-trans isomerase G;2;3;1;NA;5;1;1;1;NA;3;NA;NA;1;NA;1;8;poly(A);poly(A);NA;poly(A)
Q13442;PDAP1;28 kDa heat- and acid-stable phosphoprotein;2;3;5;4;7;2;2;3;2;4;3;2;5;3;6;8;poly(A);poly(A);non-poly(A);poly(A)
Q13573;SNW1;SNW domain-containing protein 1;3;NA;2;1;3;1;NA;5;2;6;1;NA;3;3;4;8;poly(A);poly(A);non-poly(A);poly(A)
Q15032;R3HDM1;R3H domain-containing protein 1;3;3;2;2;5;NA;NA;2;4;5;1;1;2;1;4;8;poly(A);poly(A);poly(A);poly(A)
Q15427;SF3B4;Splicing factor 3B subunit 4;7;7;8;6;8;4;6;6;6;7;6;5;4;5;6;8;poly(A);poly(A);poly(A);poly(A)
Q15434;RBMS2;RNA-binding motif, single-stranded-interacting protein 2;3;NA;NA;NA;3;3;3;1;4;4;3;3;7;4;8;8;non-poly(A);poly(A);poly(A);poly(A)
Q5T200;ZC3H13;Zinc finger CCCH domain-containing protein 13;2;1;1;NA;3;1;1;1;1;4;2;NA;1;NA;3;8;poly(A);poly(A);non-poly(A);poly(A)
