UniProt;Protein.name;Gene.name
O75155;Cullin-associated NEDD8-dissociated protein 2;CAND2
O75164;Lysine-specific demethylase 4A;KDM4A
O75175;CCR4-NOT transcription complex subunit 3;CNOT3
O75179;Ankyrin repeat domain-containing protein 17;ANKRD17
O75182;Paired amphipathic helix protein Sin3b;SIN3B
O75190;DnaJ homolog subfamily B member 6;DNAJB6
O75223;Gamma-glutamylcyclotransferase;GGCT
O75312;Zinc finger protein ZPR1;ZNF259
O75330;Hyaluronan mediated motility receptor;HMMR
O75340;Programmed cell death protein 6;PDCD6
O75348;V-type proton ATPase subunit G 1;ATP6V1G1
O75351;Vacuolar protein sorting-associated protein 4B;VPS4B
O75368;SH3 domain-binding glutamic acid-rich-like protein;SH3BGRL
O75369;Filamin-B;FLNB
O75376;Nuclear receptor corepressor 1;NCOR1
O75391;Sperm-associated antigen 7;SPAG7
O75400;Pre-mRNA-processing factor 40 homolog A;PRPF40A
O75419;Cell division control protein 45 homolog;CDC45
O75436;Vacuolar protein sorting-associated protein 26A;VPS26A
O75439;Mitochondrial-processing peptidase subunit beta;PMPCB
O75449;Katanin p60 ATPase-containing subunit A1;KATNA1
O75475;PC4 and SFRS1-interacting protein;PSIP1
O75494;Serine/arginine-rich splicing factor 10;SRSF10
O75503;Ceroid-lipofuscinosis neuronal protein 5;CLN5
O75530;Polycomb protein EED;EED
O75531;"Barrier-to-autointegration factor;Barrier-to-autointegration factor, N-terminally processed";BANF1
O75533;Splicing factor 3B subunit 1;SF3B1
O75534;Cold shock domain-containing protein E1;CSDE1
O75554;WW domain-binding protein 4;WBP4
O75569;Interferon-inducible double stranded RNA-dependent protein kinase activator A;PRKRA
O75582;"Ribosomal protein S6 kinase alpha-5;Ribosomal protein S6 kinase";RPS6KA5
O75592;Probable E3 ubiquitin-protein ligase MYCBP2;MYCBP2
O75607;Nucleoplasmin-3;NPM3
O75608;Acyl-protein thioesterase 1;LYPLA1
O75643;U5 small nuclear ribonucleoprotein 200 kDa helicase;SNRNP200
O75663;TIP41-like protein;TIPRL
O75683;Surfeit locus protein 6;SURF6
O75688;Protein phosphatase 1B;PPM1B
O75691;Small subunit processome component 20 homolog;UTP20
O75694;Nuclear pore complex protein Nup155;NUP155
O75717;WD repeat and HMG-box DNA-binding protein 1;WDHD1
O75718;Cartilage-associated protein;CRTAP
O75792;Ribonuclease H2 subunit A;RNASEH2A
O75794;Cell division cycle protein 123 homolog;CDC123
O75818;Ribonuclease P protein subunit p40;RPP40
O75821;Eukaryotic translation initiation factor 3 subunit G;EIF3G
O75822;Eukaryotic translation initiation factor 3 subunit J;EIF3J
O75832;26S proteasome non-ATPase regulatory subunit 10;PSMD10
O75874;Isocitrate dehydrogenase [NADP] cytoplasmic;IDH1
O75882;Attractin;ATRN
O75886;Signal transducing adapter molecule 2;STAM2
O75909;Cyclin-K;CCNK
O75934;Pre-mRNA-splicing factor SPF27;BCAS2
O75937;DnaJ homolog subfamily C member 8;DNAJC8
O75940;Survival of motor neuron-related-splicing factor 30;SMNDC1
O75962;Triple functional domain protein;TRIO
O76003;Glutaredoxin-3;GLRX3
O76021;Ribosomal L1 domain-containing protein 1;RSL1D1
O76031;ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial;CLPX
O76071;Probable cytosolic iron-sulfur protein assembly protein CIAO1;CIAO1
O76075;DNA fragmentation factor subunit beta;DFFB
O76094;Signal recognition particle subunit SRP72;SRP72
O94760;N(G),N(G)-dimethylarginine dimethylaminohydrolase 1;DDAH1
O94762;ATP-dependent DNA helicase Q5;RECQL5
O94763;Unconventional prefoldin RPB5 interactor 1;URI1
O94776;Metastasis-associated protein MTA2;MTA2
O94782;Ubiquitin carboxyl-terminal hydrolase 1;USP1
O94788;Retinal dehydrogenase 2;ALDH1A2
O94804;Serine/threonine-protein kinase 10;STK10
O94813;"Slit homolog 2 protein;Slit homolog 2 protein N-product;Slit homolog 2 protein C-product";SLIT2
O94822;E3 ubiquitin-protein ligase listerin;LTN1
O94842;TOX high mobility group box family member 4;TOX4
O94855;Protein transport protein Sec24D;SEC24D
O94880;PHD finger protein 14;PHF14
O94887;FERM, RhoGEF and pleckstrin domain-containing protein 2;FARP2
O94888;UBX domain-containing protein 7;UBXN7
O94903;Proline synthase co-transcribed bacterial homolog protein;PROSC
O94906;Pre-mRNA-processing factor 6;PRPF6
O94913;Pre-mRNA cleavage complex 2 protein Pcf11;PCF11
O94915;Protein furry homolog-like;FRYL
O94927;HAUS augmin-like complex subunit 5;HAUS5
O94966;Ubiquitin carboxyl-terminal hydrolase 19;USP19
O94973;AP-2 complex subunit alpha-2;AP2A2
O94992;Protein HEXIM1;HEXIM1
O95071;E3 ubiquitin-protein ligase UBR5;UBR5
O95104;Splicing factor, arginine/serine-rich 15;SCAF4
O95155;Ubiquitin conjugation factor E4 B;UBE4B
O95163;Elongator complex protein 1;IKBKAP
O95219;Sorting nexin-4;SNX4
O95235;Kinesin-like protein KIF20A;KIF20A
O95239;Chromosome-associated kinesin KIF4A;KIF4A
O95251;Histone acetyltransferase KAT7;KAT7
O95295;SNARE-associated protein Snapin;SNAPIN
O95302;Peptidyl-prolyl cis-trans isomerase FKBP9;FKBP9
O95336;6-phosphogluconolactonase;PGLS
O95340;"Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 2;Sulfate adenylyltransferase;Adenylyl-sulfate kinase";PAPSS2
O95347;Structural maintenance of chromosomes protein 2;SMC2
O95352;Ubiquitin-like modifier-activating enzyme ATG7;ATG7
O95372;Acyl-protein thioesterase 2;LYPLA2
O95373;Importin-7;IPO7
O95376;E3 ubiquitin-protein ligase ARIH2;ARIH2
O95391;Pre-mRNA-splicing factor SLU7;SLU7
O95394;Phosphoacetylglucosamine mutase;PGM3
O95400;CD2 antigen cytoplasmic tail-binding protein 2;CD2BP2
O95429;BAG family molecular chaperone regulator 4;BAG4
O95433;Activator of 90 kDa heat shock protein ATPase homolog 1;AHSA1
O95453;Poly(A)-specific ribonuclease PARN;PARN
O95456;Proteasome assembly chaperone 1;PSMG1
O95486;Protein transport protein Sec24A;SEC24A
O95487;Protein transport protein Sec24B;SEC24B
O95551;Tyrosyl-DNA phosphodiesterase 2;TDP2
O95602;"DNA-directed RNA polymerase I subunit RPA1;DNA-directed RNA polymerase";POLR1A
O95613;Pericentrin;PCNT
O95630;STAM-binding protein;STAMBP
O95671;N-acetylserotonin O-methyltransferase-like protein;ASMTL
O95684;FGFR1 oncogene partner;FGFR1OP
O95707;Ribonuclease P protein subunit p29;POP4
O95714;E3 ubiquitin-protein ligase HERC2;HERC2
O95721;"Synaptosomal-associated protein 29;Synaptosomal-associated protein";SNAP29
O95747;Serine/threonine-protein kinase OSR1;OXSR1
O95757;Heat shock 70 kDa protein 4L;HSPA4L
O95777;N-alpha-acetyltransferase 38, NatC auxiliary subunit;NAA38
O95782;AP-2 complex subunit alpha-1;AP2A1
O95793;Double-stranded RNA-binding protein Staufen homolog 1;STAU1
O95801;Tetratricopeptide repeat protein 4;TTC4
O95816;BAG family molecular chaperone regulator 2;BAG2
O95817;BAG family molecular chaperone regulator 3;BAG3
O95825;Quinone oxidoreductase-like protein 1;CRYZL1
O95835;Serine/threonine-protein kinase LATS1;LATS1
O95861;3(2),5-bisphosphate nucleotidase 1;BPNT1
O95881;Thioredoxin domain-containing protein 12;TXNDC12
O95905;Protein SGT1;ECD
O95983;Methyl-CpG-binding domain protein 3;MBD3
O95985;"DNA topoisomerase 3-beta-1;DNA topoisomerase";TOP3B
O96007;Molybdopterin synthase catalytic subunit;MOCS2
O96017;Serine/threonine-protein kinase Chk2;CHEK2
O96019;Actin-like protein 6A;ACTL6A
O96028;Histone-lysine N-methyltransferase NSD2;WHSC1
P00338;L-lactate dehydrogenase A chain;LDHA
P00367;"Glutamate dehydrogenase 1, mitochondrial;Glutamate dehydrogenase 2, mitochondrial";"GLUD1;GLUD2"
P00374;Dihydrofolate reductase;DHFR
P00390;Glutathione reductase, mitochondrial;GSR
P00491;Purine nucleoside phosphorylase;PNP
P00492;Hypoxanthine-guanine phosphoribosyltransferase;HPRT1
P00505;Aspartate aminotransferase, mitochondrial;GOT2
P00558;Phosphoglycerate kinase 1;PGK1
P00568;Adenylate kinase isoenzyme 1;AK1
P00918;Carbonic anhydrase 2;CA2
P00966;Argininosuccinate synthase;ASS1
P02545;"Prelamin-A/C;Lamin-A/C";LMNA
P02786;"Transferrin receptor protein 1;Transferrin receptor protein 1, serum form";TFRC
P04062;Glucosylceramidase;GBA
P04066;Tissue alpha-L-fucosidase;FUCA1
P04075;"Fructose-bisphosphate aldolase A;Fructose-bisphosphate aldolase";ALDOA
P04080;Cystatin-B;CSTB
P04083;Annexin A1;ANXA1
P04179;Superoxide dismutase [Mn], mitochondrial;SOD2
P04181;"Ornithine aminotransferase, mitochondrial;Ornithine aminotransferase, hepatic form;Ornithine aminotransferase, renal form";OAT
P04183;"Thymidine kinase, cytosolic;Thymidine kinase";TK1
P04350;Tubulin beta-4A chain;TUBB4A
P04406;Glyceraldehyde-3-phosphate dehydrogenase;GAPDH
P04632;Calpain small subunit 1;CAPNS1
P04637;Cellular tumor antigen p53;TP53
P04818;Thymidylate synthase;TYMS
P05067;"Amyloid beta A4 protein;N-APP;Soluble APP-alpha;Soluble APP-beta;C99;Beta-amyloid protein 42;Beta-amyloid protein 40;C83;P3(42);P3(40);C80;Gamma-secretase C-terminal fragment 59;Gamma-secretase C-terminal fragment 57;Gamma-secretase C-terminal fragment 50;C31";APP
P05091;Aldehyde dehydrogenase, mitochondrial;ALDH2
P05114;Non-histone chromosomal protein HMG-14;HMGN1
P05198;Eukaryotic translation initiation factor 2 subunit 1;EIF2S1
P05386;60S acidic ribosomal protein P1;RPLP1
P05387;60S acidic ribosomal protein P2;RPLP2
P05388;"60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like";"RPLP0;RPLP0P6"
P05423;DNA-directed RNA polymerase III subunit RPC4;POLR3D
P05455;Lupus La protein;SSB
P06132;Uroporphyrinogen decarboxylase;UROD
P06280;Alpha-galactosidase A;GLA
P06396;Gelsolin;GSN
P06400;Retinoblastoma-associated protein;RB1
P06493;Cyclin-dependent kinase 1;CDK1
P06576;"ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta";ATP5B
P06730;Eukaryotic translation initiation factor 4E;EIF4E
P06733;Alpha-enolase;ENO1
P06737;"Glycogen phosphorylase, liver form;Phosphorylase";PYGL
P06744;Glucose-6-phosphate isomerase;GPI
P06748;Nucleophosmin;NPM1
P06753;;TPM3
P06865;"Beta-hexosaminidase subunit alpha;Beta-hexosaminidase";HEXA
P07195;"L-lactate dehydrogenase B chain;L-lactate dehydrogenase";LDHB
P07237;Protein disulfide-isomerase;P4HB
P07339;"Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain";CTSD
P07355;"Annexin A2;Annexin;Putative annexin A2-like protein";"ANXA2;ANXA2P2"
P07384;Calpain-1 catalytic subunit;CAPN1
P07437;Tubulin beta chain;TUBB
P07686;"Beta-hexosaminidase subunit beta;Beta-hexosaminidase subunit beta chain B;Beta-hexosaminidase subunit beta chain A";HEXB
P07711;"Cathepsin L1;Cathepsin L1 heavy chain;Cathepsin L1 light chain";CTSL1
P07737;Profilin-1;PFN1
P07741;Adenine phosphoribosyltransferase;APRT
P07814;"Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase";EPRS
P07858;"Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain";CTSB
P07900;Heat shock protein HSP 90-alpha;HSP90AA1
P07919;Cytochrome b-c1 complex subunit 6, mitochondrial;UQCRH
P07954;Fumarate hydratase, mitochondrial;FH
P07992;DNA excision repair protein ERCC-1;ERCC1
P0DMV8;Heat shock 70 kDa protein 1A/1B;HSPA1A
P08133;"Annexin A6;Annexin";ANXA6
P08236;Beta-glucuronidase;GUSB
P08237;6-phosphofructokinase, muscle type;PFKM
P08238;Heat shock protein HSP 90-beta;HSP90AB1
P08243;Asparagine synthetase [glutamine-hydrolyzing];ASNS
P08397;Porphobilinogen deaminase;HMBS
P08579;U2 small nuclear ribonucleoprotein B;SNRPB2
P08621;U1 small nuclear ribonucleoprotein 70 kDa;SNRNP70
P08670;Vimentin;VIM
P08708;"40S ribosomal protein S17-like;40S ribosomal protein S17";"RPS17L;RPS17"
P08758;"Annexin A5;Annexin";ANXA5
P09012;U1 small nuclear ribonucleoprotein A;SNRPA
P09211;Glutathione S-transferase P;GSTP1
P09234;U1 small nuclear ribonucleoprotein C;SNRPC
P09493;Tropomyosin alpha-1 chain;TPM1
P09496;Clathrin light chain A;CLTA
P09622;Dihydrolipoyl dehydrogenase, mitochondrial;DLD
P09651;"Heterogeneous nuclear ribonucleoprotein A1;Heterogeneous nuclear ribonucleoprotein A1-like 2";"HNRNPA1;HNRNPA1L2"
P09661;U2 small nuclear ribonucleoprotein A;SNRPA1
P09874;Poly [ADP-ribose] polymerase 1;PARP1
P09936;Ubiquitin carboxyl-terminal hydrolase isozyme L1;UCHL1
P09960;Leukotriene A-4 hydrolase;LTA4H
P09972;"Fructose-bisphosphate aldolase C;Fructose-bisphosphate aldolase";ALDOC
P10109;Adrenodoxin, mitochondrial;FDX1
P10155;60 kDa SS-A/Ro ribonucleoprotein;TROVE2
P10253;"Lysosomal alpha-glucosidase;76 kDa lysosomal alpha-glucosidase;70 kDa lysosomal alpha-glucosidase";GAA
P10412;Histone H1.4;HIST1H1E
P10586;Receptor-type tyrosine-protein phosphatase F;PTPRF
P10599;Thioredoxin;TXN
P10619;"Lysosomal protective protein;Lysosomal protective protein 32 kDa chain;Lysosomal protective protein 20 kDa chain";CTSA
P10644;"cAMP-dependent protein kinase type I-alpha regulatory subunit;cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed";PRKAR1A
P10768;S-formylglutathione hydrolase;ESD
P10809;60 kDa heat shock protein, mitochondrial;HSPD1
P11021;78 kDa glucose-regulated protein;HSPA5
P11047;Laminin subunit gamma-1;LAMC1
P11117;Lysosomal acid phosphatase;ACP2
P11142;Heat shock cognate 71 kDa protein;HSPA8
P11171;Protein 4.1;EPB41
P11172;"Uridine 5-monophosphate synthase;Orotate phosphoribosyltransferase;Orotidine 5-phosphate decarboxylase";UMPS
P11177;Pyruvate dehydrogenase E1 component subunit beta, mitochondrial;PDHB
P11216;Glycogen phosphorylase, brain form;PYGB
P11274;Breakpoint cluster region protein;BCR
P11279;Lysosome-associated membrane glycoprotein 1;LAMP1
P11310;Medium-chain specific acyl-CoA dehydrogenase, mitochondrial;ACADM
P11387;DNA topoisomerase 1;TOP1
P11388;DNA topoisomerase 2-alpha;TOP2A
P11413;Glucose-6-phosphate 1-dehydrogenase;G6PD
P11441;Ubiquitin-like protein 4A;UBL4A
P11586;"C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase;C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed";MTHFD1
P11717;Cation-independent mannose-6-phosphate receptor;IGF2R
P11766;Alcohol dehydrogenase class-3;ADH5
P11802;Cyclin-dependent kinase 4;CDK4
P11908;Ribose-phosphate pyrophosphokinase 2;PRPS2
P11940;"Polyadenylate-binding protein 1;Polyadenylate-binding protein 3";"PABPC1;PABPC3"
P12004;Proliferating cell nuclear antigen;PCNA
P12081;Histidine--tRNA ligase, cytoplasmic;HARS
P12268;Inosine-5-monophosphate dehydrogenase 2;IMPDH2
P12270;Nucleoprotein TPR;TPR
P12277;Creatine kinase B-type;CKB
P12532;Creatine kinase U-type, mitochondrial;"CKMT1A;CKMT1B"
P12814;Alpha-actinin-1;ACTN1
P12955;Xaa-Pro dipeptidase;PEPD
P12956;X-ray repair cross-complementing protein 6;XRCC6
P13010;X-ray repair cross-complementing protein 5;XRCC5
P13489;Ribonuclease inhibitor;RNH1
P13639;Elongation factor 2;EEF2
P13667;Protein disulfide-isomerase A4;PDIA4
P13674;Prolyl 4-hydroxylase subunit alpha-1;P4HA1
P13693;Translationally-controlled tumor protein;TPT1
P13797;Plastin-3;PLS3
P13804;Electron transfer flavoprotein subunit alpha, mitochondrial;ETFA
P13807;Glycogen [starch] synthase, muscle;GYS1
P13861;cAMP-dependent protein kinase type II-alpha regulatory subunit;PRKAR2A
P13984;General transcription factor IIF subunit 2;GTF2F2
P13995;"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial;NAD-dependent methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase";MTHFD2
P14174;Macrophage migration inhibitory factor;MIF
P14314;Glucosidase 2 subunit beta;PRKCSH
P14324;Farnesyl pyrophosphate synthase;FDPS
P14550;Alcohol dehydrogenase [NADP(+)];AKR1A1
P14618;Pyruvate kinase PKM;PKM
P14625;Endoplasmin;HSP90B1
P14635;G2/mitotic-specific cyclin-B1;CCNB1
P14735;Insulin-degrading enzyme;IDE
P14859;"POU domain, class 2, transcription factor 1;POU domain, class 2, transcription factor 3";"POU2F1;POU2F3"
P14866;Heterogeneous nuclear ribonucleoprotein L;HNRNPL
P14868;Aspartate--tRNA ligase, cytoplasmic;DARS
P15104;Glutamine synthetase;GLUL
P15121;Aldose reductase;AKR1B1
P15170;"Eukaryotic peptide chain release factor GTP-binding subunit ERF3A;Eukaryotic peptide chain release factor GTP-binding subunit ERF3B";"GSPT1;GSPT2"
P15374;Ubiquitin carboxyl-terminal hydrolase isozyme L3;UCHL3
P15531;Nucleoside diphosphate kinase A;NME1
P15880;40S ribosomal protein S2;RPS2
P15924;Desmoplakin;DSP
P15927;Replication protein A 32 kDa subunit;RPA2
P16152;Carbonyl reductase [NADPH] 1;CBR1
P16220;Cyclic AMP-responsive element-binding protein 1;"CREB1;CREM"
P16278;Beta-galactosidase;GLB1
P16333;Cytoplasmic protein NCK1;NCK1
P16383;GC-rich sequence DNA-binding factor 2;GCFC2
P16403;Histone H1.2;HIST1H1C
P16930;Fumarylacetoacetase;FAH
P16949;Stathmin;STMN1
P16989;Y-box-binding protein 3;YBX3
P17066;Heat shock 70 kDa protein 6;HSPA6
P17174;Aspartate aminotransferase, cytoplasmic;GOT1
P17655;Calpain-2 catalytic subunit;CAPN2
P17812;CTP synthase 1;CTPS1
P17844;Probable ATP-dependent RNA helicase DDX5;DDX5
P17858;6-phosphofructokinase, liver type;PFKL
P17900;"Ganglioside GM2 activator;Ganglioside GM2 activator isoform short";GM2A
P17987;T-complex protein 1 subunit alpha;TCP1
P18077;60S ribosomal protein L35a;RPL35A
P18085;ADP-ribosylation factor 4;ARF4
P18124;60S ribosomal protein L7;RPL7
P18206;Vinculin;VCL
P18583;Protein SON;SON
P18615;Negative elongation factor E;NELFE
P18669;Phosphoglycerate mutase 1;PGAM1
P18754;Regulator of chromosome condensation;RCC1
P18858;"DNA ligase 1;DNA ligase";LIG1
P18887;DNA repair protein XRCC1;XRCC1
P19022;Cadherin-2;CDH2
P19174;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1;PLCG1
P19338;Nucleolin;NCL
P19367;Hexokinase-1;HK1
P19387;DNA-directed RNA polymerase II subunit RPB3;POLR2C
P19388;DNA-directed RNA polymerases I, II, and III subunit RPABC1;POLR2E
P19447;TFIIH basal transcription factor complex helicase XPB subunit;ERCC3
P19525;Interferon-induced, double-stranded RNA-activated protein kinase;EIF2AK2
P19623;Spermidine synthase;SRM
P19784;Casein kinase II subunit alpha;CSNK2A2
P19838;"Nuclear factor NF-kappa-B p105 subunit;Nuclear factor NF-kappa-B p50 subunit";NFKB1
P20042;Eukaryotic translation initiation factor 2 subunit 2;EIF2S2
P20073;Annexin A7;ANXA7
P20290;Transcription factor BTF3;BTF3
P20618;Proteasome subunit beta type-1;PSMB1
P20700;Lamin-B1;LMNB1
P20839;"Inosine-5-monophosphate dehydrogenase 1;Inosine-5-monophosphate dehydrogenase";IMPDH1
P21266;Glutathione S-transferase Mu 3;GSTM3
P21281;V-type proton ATPase subunit B, brain isoform;ATP6V1B2
P21283;V-type proton ATPase subunit C 1;ATP6V1C1
P21333;Filamin-A;FLNA
P21359;"Neurofibromin;Neurofibromin truncated";NF1
P21399;Cytoplasmic aconitate hydratase;ACO1
P22059;Oxysterol-binding protein 1;OSBP
P22087;rRNA 2-O-methyltransferase fibrillarin;FBL
P22102;"Trifunctional purine biosynthetic protein adenosine-3;Phosphoribosylamine--glycine ligase;Phosphoribosylformylglycinamidine cyclo-ligase;Phosphoribosylglycinamide formyltransferase";GART
P22234;"Multifunctional protein ADE2;Phosphoribosylaminoimidazole-succinocarboxamide synthase;Phosphoribosylaminoimidazole carboxylase";PAICS
P22314;Ubiquitin-like modifier-activating enzyme 1;UBA1
P22392;"Nucleoside diphosphate kinase B;Nucleoside diphosphate kinase";"NME2;NME1-NME2;NME1"
P22570;NADPH:adrenodoxin oxidoreductase, mitochondrial;FDXR
P22626;Heterogeneous nuclear ribonucleoproteins A2/B1;HNRNPA2B1
P22681;E3 ubiquitin-protein ligase CBL;CBL
P23193;Transcription elongation factor A protein 1;TCEA1
P23246;Splicing factor, proline- and glutamine-rich;SFPQ
P23258;"Tubulin gamma-1 chain;Tubulin gamma-2 chain";"TUBG1;TUBG2"
P23284;Peptidyl-prolyl cis-trans isomerase B;PPIB
P23368;NAD-dependent malic enzyme, mitochondrial;ME2
P23381;"Tryptophan--tRNA ligase, cytoplasmic;T1-TrpRS;T2-TrpRS";WARS
P23396;40S ribosomal protein S3;RPS3
P23434;Glycine cleavage system H protein, mitochondrial;GCSH
P23526;Adenosylhomocysteinase;AHCY
P23528;Cofilin-1;CFL1
P23919;Thymidylate kinase;DTYMK
P23921;Ribonucleoside-diphosphate reductase large subunit;RRM1
P24386;Rab proteins geranylgeranyltransferase component A 1;CHM
P24534;Elongation factor 1-beta;EEF1B2
P24666;Low molecular weight phosphotyrosine protein phosphatase;ACP1
P24752;Acetyl-CoA acetyltransferase, mitochondrial;ACAT1
P24928;DNA-directed RNA polymerase II subunit RPB1;POLR2A
P25054;Adenomatous polyposis coli protein;APC
P25205;DNA replication licensing factor MCM3;MCM3
P25325;3-mercaptopyruvate sulfurtransferase;MPST
P25398;40S ribosomal protein S12;RPS12
P25440;Bromodomain-containing protein 2;BRD2
P25490;Transcriptional repressor protein YY1;YY1
P25685;DnaJ homolog subfamily B member 1;DNAJB1
P25786;Proteasome subunit alpha type-1;PSMA1
P25787;Proteasome subunit alpha type-2;PSMA2
P25788;Proteasome subunit alpha type-3;PSMA3
P25789;"Proteasome subunit alpha type-4;Proteasome subunit alpha type";PSMA4
P26038;Moesin;MSN
P26196;Probable ATP-dependent RNA helicase DDX6;DDX6
P26358;DNA (cytosine-5)-methyltransferase 1;DNMT1
P26368;Splicing factor U2AF 65 kDa subunit;U2AF2
P26373;60S ribosomal protein L13;RPL13
P26374;Rab proteins geranylgeranyltransferase component A 2;CHML
P26599;Polypyrimidine tract-binding protein 1;PTBP1
P26639;Threonine--tRNA ligase, cytoplasmic;TARS
P26640;Valine--tRNA ligase;VARS
P26641;Elongation factor 1-gamma;EEF1G
P26885;"Peptidyl-prolyl cis-trans isomerase FKBP2;Peptidyl-prolyl cis-trans isomerase";FKBP2
P27144;GTP:AMP phosphotransferase AK4, mitochondrial;AK4
P27348;14-3-3 protein theta;YWHAQ
P27361;Mitogen-activated protein kinase 3;MAPK3
P27448;MAP/microtubule affinity-regulating kinase 3;MARK3
P27635;60S ribosomal protein L10;RPL10
P27694;"Replication protein A 70 kDa DNA-binding subunit;Replication protein A 70 kDa DNA-binding subunit, N-terminally processed";RPA1
P27695;"DNA-(apurinic or apyrimidinic site) lyase;DNA-(apurinic or apyrimidinic site) lyase, mitochondrial";APEX1
P27797;Calreticulin;CALR
P27824;Calnexin;CANX
P28066;Proteasome subunit alpha type-5;PSMA5
P28070;Proteasome subunit beta type-4;PSMB4
P28072;Proteasome subunit beta type-6;PSMB6
P28074;Proteasome subunit beta type-5;PSMB5
P28161;Glutathione S-transferase Mu 2;GSTM2
P28340;"DNA polymerase delta catalytic subunit;DNA polymerase";POLD1
P28370;Probable global transcription activator SNF2L1;SMARCA1
P28482;Mitogen-activated protein kinase 1;MAPK1
P28702;Retinoic acid receptor RXR-beta;RXRB
P28838;Cytosol aminopeptidase;LAP3
P29083;General transcription factor IIE subunit 1;GTF2E1
P29084;Transcription initiation factor IIE subunit beta;GTF2E2
P29144;Tripeptidyl-peptidase 2;TPP2
P29218;Inositol monophosphatase 1;IMPA1
P29374;AT-rich interactive domain-containing protein 4A;ARID4A
P29401;Transketolase;TKT
P29558;RNA-binding motif, single-stranded-interacting protein 1;RBMS1
P29590;Protein PML;PML
P30040;Endoplasmic reticulum resident protein 29;ERP29
P30041;Peroxiredoxin-6;PRDX6
P30043;Flavin reductase (NADPH);BLVRB
P30044;Peroxiredoxin-5, mitochondrial;PRDX5
P30046;"D-dopachrome decarboxylase;D-dopachrome decarboxylase-like protein";"DDT;DDTL"
P30048;Thioredoxin-dependent peroxide reductase, mitochondrial;PRDX3
P30050;60S ribosomal protein L12;RPL12
P30084;Enoyl-CoA hydratase, mitochondrial;ECHS1
P30085;UMP-CMP kinase;CMPK1
P30086;"Phosphatidylethanolamine-binding protein 1;Hippocampal cholinergic neurostimulating peptide";PEBP1
P30101;Protein disulfide-isomerase A3;PDIA3
P30153;Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform;PPP2R1A
P30154;Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform;PPP2R1B
P30260;Cell division cycle protein 27 homolog;CDC27
P30405;Peptidyl-prolyl cis-trans isomerase F, mitochondrial;PPIF
P30414;"NK-tumor recognition protein;Putative peptidyl-prolyl cis-trans isomerase";NKTR
P30419;Glycylpeptide N-tetradecanoyltransferase 1;NMT1
P30520;Adenylosuccinate synthetase isozyme 2;ADSS
P30533;Alpha-2-macroglobulin receptor-associated protein;LRPAP1
P30566;Adenylosuccinate lyase;ADSL
P30622;CAP-Gly domain-containing linker protein 1;CLIP1
P30837;Aldehyde dehydrogenase X, mitochondrial;ALDH1B1
P31040;Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial;SDHA
P31150;Rab GDP dissociation inhibitor alpha;GDI1
P31153;S-adenosylmethionine synthase isoform type-2;MAT2A
P31323;cAMP-dependent protein kinase type II-beta regulatory subunit;PRKAR2B
P31350;Ribonucleoside-diphosphate reductase subunit M2;RRM2
P31689;DnaJ homolog subfamily A member 1;DNAJA1
P31749;RAC-alpha serine/threonine-protein kinase;AKT1
P31937;3-hydroxyisobutyrate dehydrogenase, mitochondrial;HIBADH
P31939;"Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase";ATIC
P31942;Heterogeneous nuclear ribonucleoprotein H3;HNRNPH3
P31946;"14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed";YWHAB
P31948;Stress-induced-phosphoprotein 1;STIP1
P31949;Protein S100-A11;S100A11
P32119;Peroxiredoxin-2;PRDX2
P32321;Deoxycytidylate deaminase;DCTD
P32929;Cystathionine gamma-lyase;CTH
P32969;60S ribosomal protein L9;RPL9
P33176;Kinesin-1 heavy chain;KIF5B
P33240;Cleavage stimulation factor subunit 2;CSTF2
P33316;Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial;DUT
P33981;Dual specificity protein kinase TTK;TTK
P33991;DNA replication licensing factor MCM4;MCM4
P33992;DNA replication licensing factor MCM5;MCM5
P33993;DNA replication licensing factor MCM7;MCM7
P34896;Serine hydroxymethyltransferase, cytosolic;SHMT1
